Event ID: 2999, Details: High SYN packet activity, Level: Critical, Date and Time: 08/01/2024 13:59:50, Source: Intrusion Detection System, Task Category: Attack Detection.
Event ID: 3036, Details: Connection anomaly observed, Level: Warning, Date and Time: 08/01/2024 14:45:00, Source: Network Monitor, Task Category: Anomaly Detection.
Event ID: 3037, Details: Network performance stabilization, Level: Information, Date and Time: 08/01/2024 14:47:10, Source: Network Analyst, Task Category: Performance Stabilization.
Event ID: 3038, Details: Increased traffic post-attack, Level: Critical, Date and Time: 08/01/2024 14:48:30, Source: Intrusion Detection System, Task Category: Post-Attack Monitoring.
Event ID: 3039, Details: SYN flood pattern detected, Level: Warning, Date and Time: 08/01/2024 14:49:45, Source: Intrusion Detection System, Task Category: Pattern Detection.
Event ID: 3040, Details: Service restoration confirmed, Level: Information, Date and Time: 08/01/2024 14:50:00, Source: Service Team, Task Category: Restoration Confirmation.
Event ID: 3041, Details: Traffic analysis completed, Level: Information, Date and Time: 08/01/2024 14:52:20, Source: Traffic Analyst, Task Category: Traffic Review.
Event ID: 3042, Details: SYN traffic decrease observed, Level: Warning, Date and Time: 08/01/2024 14:54:00, Source: Intrusion Detection System, Task Category: Traffic Analysis.
Event ID: 3043, Details: Network load normalized, Level: Information, Date and Time: 08/01/2024 14:56:30, Source: Network Monitor, Task Category: Load Normalization.
Event ID: 3044, Details: Final attack analysis report, Level: Information, Date and Time: 08/01/2024 14:58:00, Source: Security Analyst, Task Category: Attack Report.
Event ID: 3045, Details: Post-attack network health check, Level: Information, Date and Time: 08/01/2024 15:00:00, Source: Network Health Monitor, Task Category: Health Assessment.

